seq,trade_seq,timestamp,price,qty,aggressor_order_id,passive_order_id,aggressor_side,passive_side,aggressor_remaining_qty,passive_remaining_qty
24,0,2019-05-23T09:00:31.136000,4.025,2485,613,602,sell,buy,0,4411
25,1,2019-05-23T09:00:31.136000,4.025,223,614,602,sell,buy,0,4188
26,2,2019-05-23T09:00:31.136000,4.025,50,615,602,sell,buy,0,4138
27,3,2019-05-23T09:00:31.136000,4.025,500,616,602,sell,buy,0,3638
28,4,2019-05-23T09:00:31.138000,4.025,750,617,602,sell,buy,0,2888
29,5,2019-05-23T09:00:31.138000,4.025,2481,618,602,sell,buy,0,407
30,6,2019-05-23T09:00:31.138000,4.025,407,619,602,sell,buy,0,0
31,7,2019-05-23T09:00:31.138000,4.024,2500,620,603,sell,buy,0,0
